Annee,AgeQ80,Sexe,PartPopulationMoyenne
1991,15-19 ans,1,-0.100006598934419
1991,15-19 ans,2,0.104771782574932
1991,20-24 ans,1,-0.100275248361034
1991,20-24 ans,2,0.0977508491402476
1991,25-29 ans,1,-0.0902755142274312
1991,25-29 ans,2,0.0891523768110693
1991,30-34 ans,1,-0.0789656253838833
1991,30-34 ans,2,0.0767886813673158
1991,35-39 ans,1,-0.0708033659931164
1991,35-39 ans,2,0.0697622375991939
1991,40-44 ans,1,-0.0531804144119315
1991,40-44 ans,2,0.0494194779209408
1991,45-49 ans,1,-0.0465798239756135
1991,45-49 ans,2,0.0429790315141147
1991,50-54 ans,1,-0.0373226280907969
1991,50-54 ans,2,0.0349319626124179
1991,55-59 ans,1,-0.0301321602424468
1991,55-59 ans,2,0.0281211602365927
1991,60-64 ans,1,-0.0214385689190077
1991,60-64 ans,2,0.02014273653165
1991,65-69 ans,1,-0.0139641466242386
1991,65-69 ans,2,0.015829068880296
1991,70-74 ans,1,-0.0082245095523572
1991,70-74 ans,2,0.00963089566133995
1991,75-79 ans,1,-0.00537271088650182
1991,75-79 ans,2,0.00716966973552325
1991,80 ans et plus,1,-0.00356110484716795
1991,80 ans et plus,2,0.00562784570156824
1991,Moins de 5 ans,1,-0.11787612627905
1991,Moins de 5 ans,2,0.119655440504862
1992,05-09 ans,1,-0.11803561303848
1992,05-09 ans,2,0.121132015359863
1992,10-14 ans,1,-0.103719279029494
1992,10-14 ans,2,0.106709827719034
1992,15-19 ans,1,-0.0980115670075982
1992,15-19 ans,2,0.100904744235612
1992,20-24 ans,1,-0.0973978170453096
1992,20-24 ans,2,0.0958065230008352
1992,25-29 ans,1,-0.0916042896611509
1992,25-29 ans,2,0.0901238041645672
1992,30-34 ans,1,-0.0802706241596302
1992,30-34 ans,2,0.0791724794959878
1992,35-39 ans,1,-0.0709968964472827
1992,35-39 ans,2,0.0693941378885752
1992,40-44 ans,1,-0.0555327982871832
1992,40-44 ans,2,0.0525097869703421
1992,45-49 ans,1,-0.0465544463973664
1992,45-49 ans,2,0.0425504154334262
1992,50-54 ans,1,-0.0378936498691765
1992,50-54 ans,2,0.0355058561052256
1992,55-59 ans,1,-0.0305310695854422
1992,55-59 ans,2,0.0280923457874795
1992,60-64 ans,1,-0.0216533871115406
1992,60-64 ans,2,0.0211247205611257
1992,65-69 ans,1,-0.0147181445414758
1992,65-69 ans,2,0.0158570423810021
1992,70-74 ans,1,-0.00821876271412946
1992,70-74 ans,2,0.00993030219551646
1992,75-79 ans,1,-0.00524982485803894
1992,75-79 ans,2,0.0070805773424737
1992,80 ans et plus,1,-0.0037925899734577
1992,80 ans et plus,2,0.00585161605162963
1992,Moins de 5 ans,1,-0.115819240273244
1992,Moins de 5 ans,2,0.118253805307306
1993,05-09 ans,1,-0.118855094556054
1993,05-09 ans,2,0.121986869003882
1993,10-14 ans,1,-0.104658765018868
1993,10-14 ans,2,0.108143341407027
1993,15-19 ans,1,-0.0961707827387165
1993,15-19 ans,2,0.0991173090142901
1993,20-24 ans,1,-0.0937310516711237
1993,20-24 ans,2,0.0935360503316125
1993,25-29 ans,1,-0.0928409321054702
1993,25-29 ans,2,0.0900855822777496
1993,30-34 ans,1,-0.0822339211569249
1993,30-34 ans,2,0.0812306691045774
1993,35-39 ans,1,-0.0716285580913255
1993,35-39 ans,2,0.0695072067348493
1993,40-44 ans,1,-0.0565972821990538
1993,40-44 ans,2,0.0543544997511618
1993,45-49 ans,1,-0.046712083555384
1993,45-49 ans,2,0.0428307736274975
1993,50-54 ans,1,-0.038896814266624
1993,50-54 ans,2,0.0361059912162208
1993,55-59 ans,1,-0.030401912777676
1993,55-59 ans,2,0.0283531053737244
1993,60-64 ans,1,-0.0224723301180573
1993,60-64 ans,2,0.0218778466804205
1993,65-69 ans,1,-0.0151782477386918
1993,65-69 ans,2,0.0159931381088675
1993,70-74 ans,1,-0.00847339511267077
1993,70-74 ans,2,0.0100579531369899
1993,75-79 ans,1,-0.00523231170716815
1993,75-79 ans,2,0.00711448682159945
1993,80 ans et plus,1,-0.00372197079132385
1993,80 ans et plus,2,0.0060553440026771
1993,Moins de 5 ans,1,-0.112194546394868
1993,Moins de 5 ans,2,0.113649833406852
1994,05-09 ans,1,-0.119182840291221
1994,05-09 ans,2,0.121451233036065
1994,10-14 ans,1,-0.107286343593859
1994,10-14 ans,2,0.109459388486722
1994,15-19 ans,1,-0.0939144653726273
1994,15-19 ans,2,0.0970174555073021
1994,20-24 ans,1,-0.0907929798479401
1994,20-24 ans,2,0.092535330204972
1994,25-29 ans,1,-0.0926594275723356
1994,25-29 ans,2,0.0892208741059636
1994,30-34 ans,1,-0.083344721365616
1994,30-34 ans,2,0.0833247643356143
1994,35-39 ans,1,-0.0729040996300172
1994,35-39 ans,2,0.0700332445564026
1994,40-44 ans,1,-0.0580003799073705
1994,40-44 ans,2,0.0559906080361764
1994,45-49 ans,1,-0.0468058425362853
1994,45-49 ans,2,0.0437793810358806
1994,50-54 ans,1,-0.0403401289182296
1994,50-54 ans,2,0.036656020972812
1994,55-59 ans,1,-0.0302048807867012
1994,55-59 ans,2,0.0283936311040659
1994,60-64 ans,1,-0.0234241764047592
1994,60-64 ans,2,0.0231310331327676
1994,65-69 ans,1,-0.0151865500942858
1994,65-69 ans,2,0.0157706038986921
1994,70-74 ans,1,-0.00926209340423319
1994,70-74 ans,2,0.0104687024779521
1994,75-79 ans,1,-0.0050262509882324
1994,75-79 ans,2,0.00681526042022257
1994,80 ans et plus,1,-0.00368341421257916
1994,80 ans et plus,2,0.00635989785721158
1994,Moins de 5 ans,1,-0.107981405073707
1994,Moins de 5 ans,2,0.109592570831177
1995,05-09 ans,1,-0.119498016212148
1995,05-09 ans,2,0.120476621558348
1995,10-14 ans,1,-0.108409452103643
1995,10-14 ans,2,0.111410997405201
1995,15-19 ans,1,-0.093697239839439
1995,15-19 ans,2,0.0953795389438568
1995,20-24 ans,1,-0.0891327412415692
1995,20-24 ans,2,0.0916581424031299
1995,25-29 ans,1,-0.0921019312513533
1995,25-29 ans,2,0.0885858400087068
1995,30-34 ans,1,-0.084190881413508
1995,30-34 ans,2,0.0850604624218999
1995,35-39 ans,1,-0.0735850710716164
1995,35-39 ans,2,0.0708577397491239
1995,40-44 ans,1,-0.0597948950565924
1995,40-44 ans,2,0.0579966047098791
1995,45-49 ans,1,-0.0476126270481408
1995,45-49 ans,2,0.0443818332923151
1995,50-54 ans,1,-0.0400795230363648
1995,50-54 ans,2,0.0367238916208313
1995,55-59 ans,1,-0.0307993603651855
1995,55-59 ans,2,0.0290272005967404
1995,60-64 ans,1,-0.0234762441109311
1995,60-64 ans,2,0.0233477546995128
1995,65-69 ans,1,-0.0162370801097258
1995,65-69 ans,2,0.0159925490488127
1995,70-74 ans,1,-0.00974514288667959
1995,70-74 ans,2,0.0112558247539069
1995,75-79 ans,1,-0.00503156927925768
1995,75-79 ans,2,0.00694557600210532
1995,80 ans et plus,1,-0.00367875473414006
1995,80 ans et plus,2,0.00660800632150236
1995,Moins de 5 ans,1,-0.102929470239705
1995,Moins de 5 ans,2,0.104291416464128
1996,05-09 ans,1,-0.118798564777547
1996,05-09 ans,2,0.118812964735684
1996,10-14 ans,1,-0.108968207683462
1996,10-14 ans,2,0.113176191323601
1996,15-19 ans,1,-0.0939754946408585
1996,15-19 ans,2,0.0959689541971214
1996,20-24 ans,1,-0.0874225294644207
1996,20-24 ans,2,0.0877390291217411
1996,25-29 ans,1,-0.0919072883882806
1996,25-29 ans,2,0.0906606894360807
1996,30-34 ans,1,-0.0856671158186361
1996,30-34 ans,2,0.0858489132079655
1996,35-39 ans,1,-0.0726988581486657
1996,35-39 ans,2,0.0700285739523692
1996,40-44 ans,1,-0.0639040735021083
1996,40-44 ans,2,0.0618673460344462
1996,45-49 ans,1,-0.0465810133546325
1996,45-49 ans,2,0.0438468364628201
1996,50-54 ans,1,-0.040525290285379
1996,50-54 ans,2,0.0377099017409336
1996,55-59 ans,1,-0.0311190547262999
1996,55-59 ans,2,0.0295193057772102
1996,60-64 ans,1,-0.0244704658690228
1996,60-64 ans,2,0.0237324124536698
1996,65-69 ans,1,-0.0166174133206419
1996,65-69 ans,2,0.0163939254331949
1996,70-74 ans,1,-0.0102209023559792
1996,70-74 ans,2,0.0120644104242347
1996,75-79 ans,1,-0.00514602827753804
1996,75-79 ans,2,0.00661025540230625
