Annee,Subdivision,AgeQ80,Sexe,PartPopulationMoyenne
1985,Marquises,25-29 ans,1,-0.0696673558878341
1985,Marquises,25-29 ans,2,0.0745948526225558
1985,Marquises,30-34 ans,1,-0.0607308039848366
1985,Marquises,30-34 ans,2,0.0533588503202873
1985,Marquises,35-39 ans,1,-0.0477917571759738
1985,Marquises,35-39 ans,2,0.0470264534495614
1985,Marquises,40-44 ans,1,-0.0415265361732131
1985,Marquises,40-44 ans,2,0.0444530677513258
1985,Marquises,45-49 ans,1,-0.0408633233517092
1985,Marquises,45-49 ans,2,0.0374851228645952
1985,Marquises,50-54 ans,1,-0.0356598114668691
1985,Marquises,50-54 ans,2,0.0334629265439824
1985,Marquises,55-59 ans,1,-0.0291502488982912
1985,Marquises,55-59 ans,2,0.0250884161280714
1985,Marquises,60-64 ans,1,-0.021731710433606
1985,Marquises,60-64 ans,2,0.0243406601535547
1985,Marquises,65-69 ans,1,-0.0144644836819478
1985,Marquises,65-69 ans,2,0.0164212202985356
1985,Marquises,70-74 ans,1,-0.012471370418181
1985,Marquises,70-74 ans,2,0.0116175788784516
1985,Marquises,75-79 ans,1,-0.00596038634081684
1985,Marquises,75-79 ans,2,0.00461362762536766
1985,Marquises,80 ans et plus,1,-0.00289261243463231
1985,Marquises,80 ans et plus,2,0.00144720637833173
1985,Marquises,Moins de 5 ans,1,-0.146811847991432
1985,Marquises,Moins de 5 ans,2,0.118821900212812
1985,Australes,05-09 ans,1,-0.140624945101943
1985,Australes,05-09 ans,2,0.141933033345207
1985,Australes,10-14 ans,1,-0.139131398558133
1985,Australes,10-14 ans,2,0.147673304933811
1985,Australes,15-19 ans,1,-0.13489925747484
1985,Australes,15-19 ans,2,0.134059798925568
1985,Australes,20-24 ans,1,-0.0809293973463038
1985,Australes,20-24 ans,2,0.0854446391055604
1985,Australes,25-29 ans,1,-0.072110892956216
1985,Australes,25-29 ans,2,0.0725914321646397
1985,Australes,30-34 ans,1,-0.0597348348011676
1985,Australes,30-34 ans,2,0.0535944053910629
1985,Australes,35-39 ans,1,-0.0433115721429934
1985,Australes,35-39 ans,2,0.0396747624690137
1985,Australes,40-44 ans,1,-0.0375772605302857
1985,Australes,40-44 ans,2,0.037546979158337
1985,Australes,45-49 ans,1,-0.0365957232058357
